K,RC,RC,F,K,MCS,K
C,KX,C,B,C,PCA,C
D,R,R,B,D,FSK,R
M,RC,M,B,RC,WS,M
DC,K,DC,B,K,EG,K
KX,R,KX,B,R,SMS,R
D,DC,DC,B,D,RGIS,D
C,M,M,F,C,MACS,M
DC,R,R,F,R,RGIS,R
KX,M,M,F,KX,PCA,M
R,RC,R,F,R,MCS,R
C,K,K,B,C,MACS,K
DC,M,DC,F,DC,DYP,M
D,KX,D,B,KX,PCA,KX
C,RC,C,B,C,MCS,C
K,M,K,B,M,EG,K
D,RC,RC,F,D,FSK,RC
DC,KX,KX,F,KX,RGIS,KX
K,R,R,B,R,SMS,K
C,D,C,B,D,MACS,C
DC,RC,DC,B,RC,RGIS,RC
K,KX,KX,B,KX,PCA,K
D,M,D,F,M,DYP,M
C,R,C,B,R,SMS,C
KX,RC,KX,F,KX,MCS,RC
C,DC,DC,F,DC,MACS,C
R,M,M,F,M,DYP,M
C,D,C,F,C,FSK,C
K,RC,K,B,K,EG,K
DC,R,R,F,R,SMS,R
M,RC,M,F,M,MCS,M
C,KX,KX,F,C,MACS,C
DC,K,K,B,K,RGIS,K
D,R,R,F,R,SMS,R
KX,RC,RC,B,KX,PCA,RC
D,K,K,B,K,EG,K
C,M,M,F,M,WS,M
KX,R,R,F,KX,PCA,R
D,DC,DC,F,D,FSK,D
K,M,M,F,M,WS,K
D,KX,D,B,KX,FSK,KX
R,RC,RC,F,R,SMS,R
DC,M,DC,F,M,RGIS,M
C,K,K,B,C,EG,K
D,RC,D,F,D,MCS,RC
K,R,R,F,R,EG,K
KX,M,M,F,KX,WS,M
C,RC,RC,B,RC,MACS,C
DC,KX,KX,F,KX,PCA,KX
D,M,D,F,D,FSK,M
C,R,R,B,R,MACS,C
DC,RC,DC,F,RC,MCS,RC
K,KX,KX,B,K,EG,K
M,R,R,F,R,SMS,M
C,DC,DC,B,C,RGIS,C
D,R,D,F,R,WS,R
C,KX,KX,B,C,WS,C
C,R,R,F,R,DYP,C
C,M,C,F,M,NL,M
R,RC,RC,B,RC,NL,R
D,KX,D,F,D,NL,KX
DC,K,K,B,DC,NL,K
C,RC,C,B,C,SGP,C
K,KX,K,F,K,KM,K
DC,RC,DC,B,DC,NL,RC
C,D,D,B,D,KM,C
K,R,K,F,R,NL,K
KX,RC,RC,B,KX,KM,RC
DC,M,DC,B,DC,KM,M
D,RC,RC,B,D,SGP,RC
KX,R,KX,B,KX,NL,R
C,DC,DC,F,DC,KM,C
K,M,M,B,M,SGP,K
D,R,D,B,R,SSP,R
K,RC,K,B,RC,KM,K
KX,M,KX,B,KX,KM,M
D,DC,D,F,D,SSP,D
C,R,R,F,C,SSP,C
K,M,M,B,M,BP,K
KX,RC,RC,B,RC,KM,RC
DC,R,DC,B,R,SGP,R
C,D,D,F,C,NWS,C
K,KX,K,B,KX,SGP,K
M,RC,M,B,RC,NWS,M
C,DC,C,B,C,BP,C
KX,R,KX,F,R,KM,R
D,K,K,B,D,KM,K
DC,M,DC,B,DC,SSP,M
R,RC,R,F,R,SSP,R
C,KX,C,B,C,SSP,C
D,M,M,B,D,BP,M
DC,KX,KX,F,KX,DBD,KX
C,R,R,B,C,DBD,C
M,RC,M,B,M,SGP,M
D,K,D,F,D,NWS,K
DC,R,DC,B,DC,DBD,R
K,RC,RC,F,RC,SSP,K
KX,M,KX,B,M,SSP,M
D,DC,DC,F,D,KM,D
C,RC,C,B,RC,KM,C
M,R,R,B,R,KM,M
D,KX,KX,F,KX,OO,KX
C,M,M,B,C,SGP,M
DC,K,DC,F,DC,NWS,K
